metadata,question,answer
"{'topic': 'Video games', 'answer_type': 'Person', 'urls': ['https://transistor.fandom.com/wiki/Sybil_Reisz', 'https://transistor.fandom.com/wiki/Sybil_Reisz', 'https://static.tumblr.com/964af4a1a70bbb32bec1496f8a07a87e/adjjfm7/Qh7np7bhx/tumblr_static_2qgst6zsh9ycssc8w0440w4c_2048_v2.jpg']}","In Supergiant's 2014 game Transistor, you can view an invitation on an OVC terminal in Goldwalk Promenade to Cloudbank's 67th Annual Fashion Week posted on 06-25-67 at 15:48 by which character?",Sybil Reisz
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/International_Photography_Awards#2020', 'https://www.photoawards.com/nicolo-filippo-rosso-interview/', 'https://nicolofilipporosso.com/about/', 'https://www.art-critique.com/en/2020/11/2020-international-photography-awards-winners-announced/']}",Who did the International Photography Awards of 2020 give the Deeper Perspective Photographer of the Year Award to?,Nicolo Filippo Rosso
"{'topic': 'Music', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Bob_Marley_Museum', 'https://en.wikipedia.org/wiki/Bob_Marley_Museum', 'https://everythingmarley.fandom.com/wiki/Bob_Marley_Museum', 'https://www.lindzandlamb.com/portfolio-1/project-six-6f87e-hnzph-gk7gd-93825-t2wnf-cs442-4jhf3-p87d8-kbfse-k24nm-therg-b6ehr-tcy7s-jcmwy-pg9nt-hsr7l-a4la6-x5m8b-6l3pr-almbd-nzmh2-zyk4a-lspgm-ezswz-rmaga-rpnnj-fbzda-bg7j7']}",Which year was Bob Marley's home converted into a museum?,1986
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://hokiesports.com/sports/football/opponent-history/university-of-alabama/398', 'https://rolltide.com/sports/football/opponent-history/virginia-tech/203', 'https://www.nytimes.com/athletic/3031482/2021/12/23/it-was-the-coldest-ive-ever-been-virginia-techs-blowout-of-alabama-was-only-part-of-first-music-city-bowl-adventure/', 'https://hokiesports.com/news/2018/04/30/1998-music-city-bowl']}","What are the day, month, and year of the first football game in which Virginia Tech beat Alabama?","December 29, 1998"
"{'topic': 'TV shows', 'answer_type': 'Other', 'urls': ['https://airwolf.fandom.com/wiki/And_a_Child_Shall_Lead_(episode)', 'https://airwolf.fandom.com/wiki/And_a_Child_Shall_Lead_(episode)', 'https://www.imdb.com/title/tt0507124/', 'https://therokuchannel.roku.com/details/9424612035045268b61f445d8bd72acd/airwolf-s3-e3-and-a-child-shall-lead']}","What is the title of Episode 3 in Season 3 of Airwolf, aired in 1985?",And a Child Shall Lead
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/The_Bachelor_(American_TV_series)_season_16', 'https://en.wikipedia.org/wiki/The_Bachelor_(American_TV_series)_season_16', 'https://bachelor-nation.fandom.com/wiki/The_Bachelor_(Season_16)', 'https://www.imdb.com/news/ni21469862/']}","In Season 16 of The Bachelor, which contestant quit?",Brittney Schreiner
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://presidentofindia.nic.in/index.php/former-president/shri-varahagiri-venkata-giri#:~:text=Varahagiri%20Venkata%20Giri%20(10%20August,1969%20to%2024%20August%201974.', 'https://en.wikipedia.org/wiki/V._V._Giri', 'https://www.presidentofindia.gov.in/former-presidents', 'https://www.jagranjosh.com/general-knowledge/list-of-all-presidents-of-india-from1947-to-2017-with-tenure-1500293855-1']}",Who was the 4th Indian president to be elected after independence from British rule?,Varahagiri Venkata Giri
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://www.showstudio.com/contributors/junya_watanabe', 'https://selectshopframe.com/blogs/frame-zine/tao#:~:text=For%20the%202005%20autumn%20and,named%20Tao%2C%20ceased%20to%20exist.', 'https://forums.thefashionspot.com/threads/tao-by-comme-des-garcons.76387/', 'https://www.virtualjapan.com/wiki/Tao_Kurihara']}",Tao Kurihara's first collection was presented in Paris during which fashion season?,2005 autumn/winter season
"{'topic': 'Video games', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Music_of_Kingdom_Hearts#Kingdom_Hearts_Original_Soundtrack', 'https://en.wikipedia.org/wiki/Music_of_Kingdom_Hearts#Kingdom_Hearts_Original_Soundtrack', 'https://www.khwiki.com/Kingdom_Hearts_Original_Soundtrack']}",What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,"A Walk in Andante, 1:18"
"{'topic': 'Other', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Chris_Hani', 'https://www.britannica.com/biography/Chris-Hani#ref368605', 'https://sbffranktalk.blogspot.com/2013/04/biography-of-week-chris-hani.html', 'https://www.pindula.co.zw/Chris_Hani/']}",How many children did Gilbert Hani and Mary Hani have?,6
"{'topic': 'Video games', 'answer_type': 'Date', 'urls': ['https://warcraft.wiki.gg/wiki/Searing_Totem', 'https://wowpedia.fandom.com/wiki/Searing_Totem', 'https://eu.forums.blizzard.com/en/wow/t/list-of-removed-shaman-abilities-since-302/458606']}",What patch removed the Shaman ability Searing Totem from the game in World of Warcraft?,7.0.3
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://mathshistory.st-andrews.ac.uk/Biographies/Bieberbach/', 'https://mathshistory.st-andrews.ac.uk/Biographies/Bieberbach/', 'https://en.wikipedia.org/wiki/Ludwig_Bieberbach', 'https://bookofproofs.github.io/history/19th-century/bieberbach.html']}","In what year was Ludwig Bieberbach, the German mathematician best known for his conjecture on holomorphic functions, appointed professor of mathematics in Basel?",1913
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Brihaspati_VidyaSadan', 'https://en.wikipedia.org/wiki/Brihaspati_VidyaSadan#:~:text=Brihaspati%20Vidyasadan%20was%20established%20in,the%20school%20was%20Maurice%20Banerjee.', 'https://ecs.com.np/features/education-in-nepal-the-three-rs-and-beyond']}","Who was the first principal of Brihaspati Vidyasadan, a school in Kathmandu, Nepal, established in 1985?",Maurice Banerjee
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://es.wikipedia.org/wiki/Amalfi_(Antioquia)', 'https://www.amalfi-antioquia.gov.co/municipio/historia', 'https://es.wikipedia.org/wiki/Amalfi_(Antioquia)', 'https://corregimientos.antioquia.gov.co/amalfi/']}","What year was the municipality of Amalfi, Antioquia, Colombia, founded?",1838
"{'topic': 'TV shows', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Games_People_Play_(Modern_Family)', ""https://www.rottentomatoes.com/tv/modern_family/s04/e23#:~:text=Episode%20Info,Cam%20and%20Mitch's%20competitive%20spirit."", 'https://modernfamily.fandom.com/wiki/Games_People_Play', 'https://www.imdb.com/title/tt2814070/']}","In the TV series Modern Family, in Season 4, Episode 23, which sport is Lily competing in?",Gymnastics
"{'topic': 'Science and technology', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Enrico_D%27Ovidio', 'https://en.wikipedia.org/wiki/Enrico_D%27Ovidio', 'https://areeweb.polito.it/strutture/cemed/museovirtuale/english/storia/2-02/2-2-01/2-2-0133.htm', ""http://www.geometry.net/detail/scientists/d'ovidio_enrico.html""]}",In what city was the mathematician Enrico D'Ovidio born?,Campobasso
"{'topic': 'Music', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Hank_Williams', 'https://en.wikipedia.org/wiki/Hank_Williams', 'https://www.bustle.com/articles/149115-where-are-hank-williams-children-now-i-saw-the-light-puts-the-singers-family-in-the', 'https://media.al.com/mcolurso/other/101HANKTREE.pdf']}",How many children did Hank Williams have?,2
"{'topic': 'Politics', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/1983_Argentine_general_election', 'https://en.wikipedia.org/wiki/1983_Argentine_general_election', 'https://www.wikiwand.com/en/1983_Argentine_general_election', 'http://archive.ipu.org/parline-e/reports/arc/ARGENTINA_1983_E.PDF']}",How many seats did the Intransigent Party get at the 1983 Argentine general election?,3
"{'topic': 'Politics', 'answer_type': 'Other', 'urls': ['https://www.tullowoil.com/our-operations/africa/ghana/', 'https://www.offshore-mag.com/field-development/article/16789168/jubilee-field-development-plan-approved', 'https://www.tullowoil.com/our-operations/africa/ghana/', 'https://www.annualreportsghana.com/wp-content/uploads/2020/06/Tullow-Oil-IPO-Prospectus-2011.pdf']}",Who formally approved the Jubilee Field Phase 1 Development Plan and Unitisation Agreement in July 2009? Just name the office of the person.,Minister of Energy in Ghana
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Stampacchia_Medal', 'https://en.wikipedia.org/wiki/Stampacchia_Medal', 'https://www.math.columbia.edu/2012/05/17/savin-award/', 'https://umi.dm.unibo.it/premi-old/gold-medal-guido-stampacchia/']}",Who was awarded the Stampacchia Gold Medal in 2012?,Ovidiu Savin
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Bharat_Sanchar_Nigam_Limited', 'https://en.wikipedia.org/wiki/Bharat_Sanchar_Nigam_Limited', 'https://www.cioinsiderindia.com/news/bsnl-to-provide-satellitebased-services-using-a-gateway-nwid-3995.html', 'https://nexnews.org/directory/companies/bharat-sanchar-nigam-limited#google_vignette']}","What was the day, month, and year when BSNL (Bharat Sanchar Nigam Limited) launched ""BSNL Wings Services"" in 22 telecom circles, in which there is no need for a SIM card or cable wiring as it is a VoIP (Voice Over Internet Protocol) service through an app throughout India?",16 August 2018
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://botn.info/wp-content/uploads/2019/12/Rules-for-LONGSWORD-DUEL-CATEGORY_v2.0.pdf', 'https://botn.info/wp-content/uploads/2019/12/Rules-for-LONGSWORD-DUEL-CATEGORY_v2.0.pdf', 'https://en.wikipedia.org/wiki/Battle_of_the_Nations_(Medieval_Tournament),']}","According to the 2021 rules of Battle of the Nations, how many rounds does each longsword duel last?",1
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Nikolai_Talyzin', 'https://en.wikipedia.org/wiki/Nikolai_Talyzin', 'https://demokratizatsiya.pub/archives/07-2_arias.pdf']}","In what month and year was Nikolai Talyzin dismissed from Nikolai Ryzhkov's government, along with many other conservatives, during the period of perestroika?",September 1989
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://www.unesco.org/en/memory-world/sukarnos-speech-build-world-anew-september-30-1960?hub=1081', 'https://www.unesco.org/en/memory-world/sukarnos-speech-build-world-anew-september-30-1960#:~:text=To%20Build%20the%20World%20Anew%20is%20a%20speech%20delivered%20at,in%20New%20York%2C%20United%20States.', 'https://catalogue.nla.gov.au/catalog/1906451', 'https://mowid.anri.go.id/index.php/president-sukarno-was-reading-a-speech-to-build-the-world-anew-accompanied-by-his-aide-named-lieutenant-colonel-cpm-sabur-it-appears-that-the-sabur-colonel-gave-a-speech-paper-material-to-president-sukarno-at-the-15th-un-general-assemb']}","What month, day, and year did President Sukarno deliver his ""To Build the World Anew"" speech?","September 30th, 1960"
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://www.sigmaphoto.com/dp1-quattro-compact-digital-camera', 'https://www.sigmaphoto.com/dp1-quattro-compact-digital-camera-lvf-01-viewfinder-kit#:~:text=Effective%20Pixels%3A%20Approx.%2029MP', 'https://www.sigma-global.com/en/cameras/dp1-quattro/specification.html#:~:text=Effective%20Pixels%3A%20Approx.%2029MP']}",What is the effective total pixel count of my Sigma DP1 Quattro?,29MP
